,trackName,artistName,id,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_href,uri,analysis_url
11,The Heart Never Lies - Live,McFly,6ocRnFalU3FrPGpBpUjqrX,pop,0.0034200000000000003,0.445,369813.0,0.759,4.38e-06,7.0,0.852,-5.047,1.0,0.033,100.006,4.0,0.115,https://api.spotify.com/v1/tracks/6ocRnFalU3FrPGpBpUjqrX,spotify:track:6ocRnFalU3FrPGpBpUjqrX,https://api.spotify.com/v1/audio-analysis/6ocRnFalU3FrPGpBpUjqrX
12,Love Is On The Radio,McFly,0M2esSxcdB6gTEeXYg7Ynq,pop,0.10300000000000001,0.508,245093.0,0.6729999999999999,0.0,7.0,0.09699999999999999,-4.581,1.0,0.0335,80.959,4.0,0.633,https://api.spotify.com/v1/tracks/0M2esSxcdB6gTEeXYg7Ynq,spotify:track:0M2esSxcdB6gTEeXYg7Ynq,https://api.spotify.com/v1/audio-analysis/0M2esSxcdB6gTEeXYg7Ynq
13,Love Is Easy,McFly,1SLWLZPU1gP4UbJ7RniOFq,pop,0.0694,0.68,222920.0,0.6659999999999999,0.0,9.0,0.157,-6.952999999999999,1.0,0.115,151.995,4.0,0.789,https://api.spotify.com/v1/tracks/1SLWLZPU1gP4UbJ7RniOFq,spotify:track:1SLWLZPU1gP4UbJ7RniOFq,https://api.spotify.com/v1/audio-analysis/1SLWLZPU1gP4UbJ7RniOFq
14,Savage Love (Laxed - Siren Beat),Jawsh 685,1xQ6trAsedVPCdbtDAmk0c,pop,0.23399999999999999,0.767,171375.0,0.48100000000000004,0.0,0.0,0.26899999999999996,-8.52,0.0,0.0803,150.076,4.0,0.7609999999999999,https://api.spotify.com/v1/tracks/1xQ6trAsedVPCdbtDAmk0c,spotify:track:1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/audio-analysis/1xQ6trAsedVPCdbtDAmk0c
15,How You Like That,BLACKPINK,3vAn0qZzdyuHamcrpkfiX3,k-pop,0.0694,0.828,181264.0,0.782,3.41e-05,11.0,0.0544,-4.013999999999999,1.0,0.0918,130.013,4.0,0.35100000000000003,https://api.spotify.com/v1/tracks/3vAn0qZzdyuHamcrpkfiX3,spotify:track:3vAn0qZzdyuHamcrpkfiX3,https://api.spotify.com/v1/audio-analysis/3vAn0qZzdyuHamcrpkfiX3
16,death bed (coffee for your head),Powfu,7eJMfftS33KTjuF7lTsMCx,hip hop,0.731,0.726,173333.0,0.431,0.0,8.0,0.696,-8.765,0.0,0.135,144.026,4.0,0.348,https://api.spotify.com/v1/tracks/7eJMfftS33KTjuF7lTsMCx,spotify:track:7eJMfftS33KTjuF7lTsMCx,https://api.spotify.com/v1/audio-analysis/7eJMfftS33KTjuF7lTsMCx
17,Party Girl,StaySolidRocky,5RqR4ZCCKJDcBLIn4sih9l,hip hop,0.7490000000000001,0.728,147800.0,0.431,0.0,6.0,0.0996,-9.966000000000001,0.0,0.0622,130.02200000000002,4.0,0.629,https://api.spotify.com/v1/tracks/5RqR4ZCCKJDcBLIn4sih9l,spotify:track:5RqR4ZCCKJDcBLIn4sih9l,https://api.spotify.com/v1/audio-analysis/5RqR4ZCCKJDcBLIn4sih9l
18,ily (i love you baby) (feat. Emilee),Surf Mesa,62aP9fBQKYKxi7PDXwcUAS,pop,0.0686,0.674,176547.0,0.774,0.0018800000000000002,11.0,0.39299999999999996,-7.567,0.0,0.0892,112.05,4.0,0.33,https://api.spotify.com/v1/tracks/62aP9fBQKYKxi7PDXwcUAS,spotify:track:62aP9fBQKYKxi7PDXwcUAS,https://api.spotify.com/v1/audio-analysis/62aP9fBQKYKxi7PDXwcUAS
19,Blueberry Faygo,Lil Mosey,22LAwLoDA5b4AaGSkg6bKW,hip hop,0.207,0.774,162547.0,0.5539999999999999,0.0,0.0,0.132,-7.909,1.0,0.0383,99.03399999999999,4.0,0.349,https://api.spotify.com/v1/tracks/22LAwLoDA5b4AaGSkg6bKW,spotify:track:22LAwLoDA5b4AaGSkg6bKW,https://api.spotify.com/v1/audio-analysis/22LAwLoDA5b4AaGSkg6bKW
20,Supalonely,BENEE,4nK5YrxbMGZstTLbvj6Gxw,pop,0.305,0.863,223480.0,0.631,3.04e-05,7.0,0.12300000000000001,-4.689,1.0,0.0534,128.977,4.0,0.8170000000000001,https://api.spotify.com/v1/tracks/4nK5YrxbMGZstTLbvj6Gxw,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,https://api.spotify.com/v1/audio-analysis/4nK5YrxbMGZstTLbvj6Gxw
21,MAMACITA,Black Eyed Peas,24IgCW19L8lXKyFZwzFtD3,hip hop,0.19,0.88,251429.0,0.626,0.000755,2.0,0.094,-7.062,1.0,0.0473,105.01,4.0,0.441,https://api.spotify.com/v1/tracks/24IgCW19L8lXKyFZwzFtD3,spotify:track:24IgCW19L8lXKyFZwzFtD3,https://api.spotify.com/v1/audio-analysis/24IgCW19L8lXKyFZwzFtD3
22,La Jeepeta - Remix,Nio Garcia,1mohfLaTJtB2RplHLQVM70,hip hop,0.3,0.815,345241.0,0.715,4.83e-06,4.0,0.091,-4.65,0.0,0.207,176.007,4.0,0.7859999999999999,https://api.spotify.com/v1/tracks/1mohfLaTJtB2RplHLQVM70,spotify:track:1mohfLaTJtB2RplHLQVM70,https://api.spotify.com/v1/audio-analysis/1mohfLaTJtB2RplHLQVM70
23,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,2MbdDtCv5LUVjYy9RuGTgC,hip hop,0.0631,0.904,227478.0,0.723,0.0,11.0,0.185,-5.224,0.0,0.26,145.013,4.0,0.835,https://api.spotify.com/v1/tracks/2MbdDtCv5LUVjYy9RuGTgC,spotify:track:2MbdDtCv5LUVjYy9RuGTgC,https://api.spotify.com/v1/audio-analysis/2MbdDtCv5LUVjYy9RuGTgC
24,THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,pop,0.233,0.716,165978.0,0.537,0.0,0.0,0.157,-7.648,0.0,0.0514,129.97899999999998,4.0,0.28,https://api.spotify.com/v1/tracks/39Yp9wwQiSRIDOvrVg7mbk,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,https://api.spotify.com/v1/audio-analysis/39Yp9wwQiSRIDOvrVg7mbk
25,TKN (feat. Travis Scott),ROSALÍA,4w47S36wQGBhGg073q3nt7,pop,0.192,0.7759999999999999,129371.0,0.509,1.49e-06,0.0,0.115,-6.266,0.0,0.467,94.634,4.0,0.485,https://api.spotify.com/v1/tracks/4w47S36wQGBhGg073q3nt7,spotify:track:4w47S36wQGBhGg073q3nt7,https://api.spotify.com/v1/audio-analysis/4w47S36wQGBhGg073q3nt7
26,Relación,Sech,3ZG8N7aWw2meb6UrI5ZmnZ,hip hop,0.125,0.805,184255.0,0.562,4.96e-06,7.0,0.14800000000000002,-3.117,0.0,0.105,172.09400000000002,4.0,0.767,https://api.spotify.com/v1/tracks/3ZG8N7aWw2meb6UrI5ZmnZ,spotify:track:3ZG8N7aWw2meb6UrI5ZmnZ,https://api.spotify.com/v1/audio-analysis/3ZG8N7aWw2meb6UrI5ZmnZ
27,Falling,Trevor Daniel,2rRJrJEo19S2J82BDsQ3F7,hip hop,0.12300000000000001,0.784,159382.0,0.43,0.0,10.0,0.0887,-8.756,0.0,0.0364,127.087,4.0,0.23600000000000002,https://api.spotify.com/v1/tracks/2rRJrJEo19S2J82BDsQ3F7,spotify:track:2rRJrJEo19S2J82BDsQ3F7,https://api.spotify.com/v1/audio-analysis/2rRJrJEo19S2J82BDsQ3F7
28,GOOBA,6ix9ine,4NhDYoQTYCdWHTvlbGVgwo,hip hop,0.0264,0.611,132303.0,0.688,0.0,1.0,0.251,-5.688,1.0,0.341,178.46200000000002,4.0,0.39299999999999996,https://api.spotify.com/v1/tracks/4NhDYoQTYCdWHTvlbGVgwo,spotify:track:4NhDYoQTYCdWHTvlbGVgwo,https://api.spotify.com/v1/audio-analysis/4NhDYoQTYCdWHTvlbGVgwo
29,Savage Remix (feat. Beyoncé),Megan Thee Stallion,5v4GgrXPMghOnBBLmveLac,hip hop,0.016,0.8220000000000001,242001.0,0.743,0.0,10.0,0.127,-4.772,0.0,0.28,84.459,4.0,0.636,https://api.spotify.com/v1/tracks/5v4GgrXPMghOnBBLmveLac,spotify:track:5v4GgrXPMghOnBBLmveLac,https://api.spotify.com/v1/audio-analysis/5v4GgrXPMghOnBBLmveLac
30,Play Date,Melanie Martinez,4DpNNXFMMxQEKl7r0ykkWA,pop,0.612,0.68,179867.0,0.7290000000000001,0.0,5.0,0.22399999999999998,-5.077,1.0,0.0475,123.97,4.0,0.446,https://api.spotify.com/v1/tracks/4DpNNXFMMxQEKl7r0ykkWA,spotify:track:4DpNNXFMMxQEKl7r0ykkWA,https://api.spotify.com/v1/audio-analysis/4DpNNXFMMxQEKl7r0ykkWA
31,goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,hip hop,0.0847,0.841,243837.0,0.728,0.0,7.0,0.149,-3.37,1.0,0.0484,130.049,4.0,0.43,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,spotify:track:6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2
32,Hasta Que Dios Diga,Anuel AA,06s3QtMJVXw1AJX3UfvZG1,hip hop,0.46399999999999997,0.691,246000.0,0.765,3.29e-06,8.0,0.203,-4.727,1.0,0.111,174.021,4.0,0.855,https://api.spotify.com/v1/tracks/06s3QtMJVXw1AJX3UfvZG1,spotify:track:06s3QtMJVXw1AJX3UfvZG1,https://api.spotify.com/v1/audio-analysis/06s3QtMJVXw1AJX3UfvZG1
33,ROCKSTAR (feat. Roddy Ricch),DaBaby,7ytR5pFWmSjzHJIeQkgog4,hip hop,0.247,0.746,181733.0,0.69,0.0,11.0,0.10099999999999999,-7.956,1.0,0.16399999999999998,89.977,4.0,0.49700000000000005,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,spotify:track:7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4
34,Wash Us In The Blood,Kanye West,7mEUjhl6aTztdHCrxoTgBG,hip hop,0.184,0.67,189827.0,0.847,0.0,10.0,0.304,-4.85,1.0,0.409,137.22,4.0,0.381,https://api.spotify.com/v1/tracks/7mEUjhl6aTztdHCrxoTgBG,spotify:track:7mEUjhl6aTztdHCrxoTgBG,https://api.spotify.com/v1/audio-analysis/7mEUjhl6aTztdHCrxoTgBG
35,HIGHEST IN THE ROOM,Travis Scott,3eekarcy7kvN4yt5ZFzltW,hip hop,0.0546,0.598,175721.0,0.42700000000000005,5.83e-06,7.0,0.21,-8.764,0.0,0.0317,76.469,4.0,0.0605,https://api.spotify.com/v1/tracks/3eekarcy7kvN4yt5ZFzltW,spotify:track:3eekarcy7kvN4yt5ZFzltW,https://api.spotify.com/v1/audio-analysis/3eekarcy7kvN4yt5ZFzltW
36,Love Me 4 Me,Rina Sawayama,28MOE4pVk5uN3wBDGBacET,pop,0.0633,0.503,192101.0,0.8420000000000001,0.0,0.0,0.0651,-4.181,1.0,0.0434,106.93,4.0,0.40299999999999997,https://api.spotify.com/v1/tracks/28MOE4pVk5uN3wBDGBacET,spotify:track:28MOE4pVk5uN3wBDGBacET,https://api.spotify.com/v1/audio-analysis/28MOE4pVk5uN3wBDGBacET
37,Paradisin',Rina Sawayama,0e1yfIkdDkvhSo2dFYCZIL,pop,0.0153,0.59,186018.0,0.7490000000000001,0.0,0.0,0.19,-2.8160000000000003,1.0,0.0532,87.512,4.0,0.61,https://api.spotify.com/v1/tracks/0e1yfIkdDkvhSo2dFYCZIL,spotify:track:0e1yfIkdDkvhSo2dFYCZIL,https://api.spotify.com/v1/audio-analysis/0e1yfIkdDkvhSo2dFYCZIL
38,Comme Des Garçons (Like The Boys),Rina Sawayama,43bYs8QkPdCdy5esfnmU1T,pop,0.0246,0.7240000000000001,181506.0,0.715,0.0027600000000000003,0.0,0.441,-3.7760000000000002,1.0,0.11599999999999999,119.162,4.0,0.645,https://api.spotify.com/v1/tracks/43bYs8QkPdCdy5esfnmU1T,spotify:track:43bYs8QkPdCdy5esfnmU1T,https://api.spotify.com/v1/audio-analysis/43bYs8QkPdCdy5esfnmU1T
39,XS,Rina Sawayama,1TWNKyNQOBfNUkWWs7FooF,pop,0.0854,0.635,201060.0,0.929,1.14e-06,2.0,0.0822,-3.2560000000000002,0.0,0.146,117.039,4.0,0.59,https://api.spotify.com/v1/tracks/1TWNKyNQOBfNUkWWs7FooF,spotify:track:1TWNKyNQOBfNUkWWs7FooF,https://api.spotify.com/v1/audio-analysis/1TWNKyNQOBfNUkWWs7FooF
40,Dynasty,Rina Sawayama,154gL4Xb5AsreMkcDlVFYS,pop,0.102,0.249,188400.0,0.8909999999999999,0.0,7.0,0.125,-1.08,1.0,0.059000000000000004,84.098,4.0,0.19899999999999998,https://api.spotify.com/v1/tracks/154gL4Xb5AsreMkcDlVFYS,spotify:track:154gL4Xb5AsreMkcDlVFYS,https://api.spotify.com/v1/audio-analysis/154gL4Xb5AsreMkcDlVFYS
41,She Taught Me How To Fly,Noel Gallagher's High Flying Birds,3L7OfyjjS64ZQYsV7JAII5,rock,6.38e-05,0.392,302213.0,0.8390000000000001,0.494,7.0,0.32,-5.289,1.0,0.0445,133.946,4.0,0.285,https://api.spotify.com/v1/tracks/3L7OfyjjS64ZQYsV7JAII5,spotify:track:3L7OfyjjS64ZQYsV7JAII5,https://api.spotify.com/v1/audio-analysis/3L7OfyjjS64ZQYsV7JAII5
42,Star Girl,McFly,4XJgkeu052kEf1AIfXDlHQ,pop,0.00255,0.48100000000000004,207507.0,0.662,0.0,3.0,0.0622,-3.957,1.0,0.0311,156.2,4.0,0.764,https://api.spotify.com/v1/tracks/4XJgkeu052kEf1AIfXDlHQ,spotify:track:4XJgkeu052kEf1AIfXDlHQ,https://api.spotify.com/v1/audio-analysis/4XJgkeu052kEf1AIfXDlHQ
43,All About You,McFly,0ElmwRAsaxaUZXnMbaSllH,pop,0.19699999999999998,0.542,186867.0,0.5589999999999999,0.0,1.0,0.0989,-5.313,1.0,0.0258,129.898,4.0,0.295,https://api.spotify.com/v1/tracks/0ElmwRAsaxaUZXnMbaSllH,spotify:track:0ElmwRAsaxaUZXnMbaSllH,https://api.spotify.com/v1/audio-analysis/0ElmwRAsaxaUZXnMbaSllH
44,The Reason,Hoobastank,7afSN5zhUhkbpRFpYKYztK,rock,0.0129,0.47200000000000003,232800.0,0.6709999999999999,0.0,4.0,0.159,-4.649,1.0,0.028999999999999998,82.95200000000001,4.0,0.0681,https://api.spotify.com/v1/tracks/7afSN5zhUhkbpRFpYKYztK,spotify:track:7afSN5zhUhkbpRFpYKYztK,https://api.spotify.com/v1/audio-analysis/7afSN5zhUhkbpRFpYKYztK
45,Mirrors,Justin Timberlake,4rHZZAmHpZrA3iH5zx8frV,pop,0.23399999999999999,0.574,484147.0,0.512,0.0,5.0,0.0946,-6.664,0.0,0.0503,76.899,4.0,0.512,https://api.spotify.com/v1/tracks/4rHZZAmHpZrA3iH5zx8frV,spotify:track:4rHZZAmHpZrA3iH5zx8frV,https://api.spotify.com/v1/audio-analysis/4rHZZAmHpZrA3iH5zx8frV
46,Bad (feat. Vassy) - Radio Edit,David Guetta,6eIacmhkE82vZlMDnGS7aP,edm,0.00125,0.614,170625.0,0.972,0.0186,5.0,0.32799999999999996,-3.927,0.0,0.08800000000000001,127.96600000000001,4.0,0.41100000000000003,https://api.spotify.com/v1/tracks/6eIacmhkE82vZlMDnGS7aP,spotify:track:6eIacmhkE82vZlMDnGS7aP,https://api.spotify.com/v1/audio-analysis/6eIacmhkE82vZlMDnGS7aP
47,Sometimes,Gerry Cinnamon,2c9OnhCwDVpKZWjOPqKiA8,rock,0.0214,0.638,196600.0,0.6990000000000001,0.0,9.0,0.0739,-6.736000000000001,1.0,0.0304,149.99200000000002,4.0,0.9590000000000001,https://api.spotify.com/v1/tracks/2c9OnhCwDVpKZWjOPqKiA8,spotify:track:2c9OnhCwDVpKZWjOPqKiA8,https://api.spotify.com/v1/audio-analysis/2c9OnhCwDVpKZWjOPqKiA8
48,Green Light,Lorde,3I4QOvltiKcMu3xmnQjEct,pop,0.0209,0.594,234653.0,0.721,8.55e-06,2.0,0.0879,-7.812,1.0,0.0957,128.942,4.0,0.253,https://api.spotify.com/v1/tracks/3I4QOvltiKcMu3xmnQjEct,spotify:track:3I4QOvltiKcMu3xmnQjEct,https://api.spotify.com/v1/audio-analysis/3I4QOvltiKcMu3xmnQjEct
49,Sober,Lorde,0PXCdhnm9fRgrIgoMcteZa,pop,0.17300000000000001,0.7959999999999999,197236.0,0.467,0.00411,6.0,0.126,-10.369000000000002,1.0,0.18100000000000002,107.90100000000001,4.0,0.516,https://api.spotify.com/v1/tracks/0PXCdhnm9fRgrIgoMcteZa,spotify:track:0PXCdhnm9fRgrIgoMcteZa,https://api.spotify.com/v1/audio-analysis/0PXCdhnm9fRgrIgoMcteZa
50,Homemade Dynamite,Lorde,0zL76omZWytdTtyXKVfuDw,pop,0.287,0.7709999999999999,189796.0,0.431,2.75e-06,10.0,0.0934,-5.422999999999999,1.0,0.0577,107.04700000000001,4.0,0.268,https://api.spotify.com/v1/tracks/0zL76omZWytdTtyXKVfuDw,spotify:track:0zL76omZWytdTtyXKVfuDw,https://api.spotify.com/v1/audio-analysis/0zL76omZWytdTtyXKVfuDw
51,The Louvre,Lorde,4YBDSEzVNQbvCvVIWNtruF,pop,0.239,0.664,271088.0,0.382,0.00763,0.0,0.0943,-9.977,1.0,0.047,123.214,4.0,0.126,https://api.spotify.com/v1/tracks/4YBDSEzVNQbvCvVIWNtruF,spotify:track:4YBDSEzVNQbvCvVIWNtruF,https://api.spotify.com/v1/audio-analysis/4YBDSEzVNQbvCvVIWNtruF
52,Liability,Lorde,4iSN72L6xCM7vQZR2I9Suz,pop,0.92,0.5870000000000001,171728.0,0.22899999999999998,0.0,10.0,0.1,-11.254000000000001,0.0,0.128,75.67,4.0,0.379,https://api.spotify.com/v1/tracks/4iSN72L6xCM7vQZR2I9Suz,spotify:track:4iSN72L6xCM7vQZR2I9Suz,https://api.spotify.com/v1/audio-analysis/4iSN72L6xCM7vQZR2I9Suz
53,Hard Feelings/Loveless,Lorde,3VDX4CCJWbRXBKuW5IY5R9,pop,0.0328,0.48700000000000004,367391.0,0.445,0.0104,1.0,0.0778,-10.959000000000001,0.0,0.113,97.031,4.0,0.18,https://api.spotify.com/v1/tracks/3VDX4CCJWbRXBKuW5IY5R9,spotify:track:3VDX4CCJWbRXBKuW5IY5R9,https://api.spotify.com/v1/audio-analysis/3VDX4CCJWbRXBKuW5IY5R9
54,Sober II (Melodrama),Lorde,0dtMnnWhm2AXVxjJy5hUPe,pop,0.166,0.524,178639.0,0.312,4.79e-06,8.0,0.073,-11.627,0.0,0.0444,112.948,4.0,0.10099999999999999,https://api.spotify.com/v1/tracks/0dtMnnWhm2AXVxjJy5hUPe,spotify:track:0dtMnnWhm2AXVxjJy5hUPe,https://api.spotify.com/v1/audio-analysis/0dtMnnWhm2AXVxjJy5hUPe
55,Writer In The Dark,Lorde,5bMWY1u9ghi4X6fIAsQRaC,pop,0.73,0.325,216611.0,0.271,0.0,7.0,0.301,-8.068999999999999,1.0,0.0418,71.855,4.0,0.27899999999999997,https://api.spotify.com/v1/tracks/5bMWY1u9ghi4X6fIAsQRaC,spotify:track:5bMWY1u9ghi4X6fIAsQRaC,https://api.spotify.com/v1/audio-analysis/5bMWY1u9ghi4X6fIAsQRaC
56,My Friend,Hayley Williams,6H5PpiwCO61mWgWEgDb7ZU,pop,0.311,0.757,219073.0,0.598,0.00205,8.0,0.10400000000000001,-7.641,0.0,0.043,100.015,4.0,0.336,https://api.spotify.com/v1/tracks/6H5PpiwCO61mWgWEgDb7ZU,spotify:track:6H5PpiwCO61mWgWEgDb7ZU,https://api.spotify.com/v1/audio-analysis/6H5PpiwCO61mWgWEgDb7ZU
57,Dead Horse,Hayley Williams,5RdkyZw1KQ1v0EbquUAsx2,pop,0.121,0.737,199413.0,0.787,2.14e-06,7.0,0.114,-4.587,1.0,0.0525,90.014,4.0,0.59,https://api.spotify.com/v1/tracks/5RdkyZw1KQ1v0EbquUAsx2,spotify:track:5RdkyZw1KQ1v0EbquUAsx2,https://api.spotify.com/v1/audio-analysis/5RdkyZw1KQ1v0EbquUAsx2
59,Candy,Robbie Williams,5NlFXQ0si6U87gXs6hq81B,rock,0.0368,0.715,201053.0,0.7909999999999999,0.0,10.0,0.0694,-6.63,1.0,0.0414,116.04299999999999,4.0,0.879,https://api.spotify.com/v1/tracks/5NlFXQ0si6U87gXs6hq81B,spotify:track:5NlFXQ0si6U87gXs6hq81B,https://api.spotify.com/v1/audio-analysis/5NlFXQ0si6U87gXs6hq81B
60,Angels,Robbie Williams,1M2nd8jNUkkwrc1dgBPTJz,rock,0.156,0.429,265000.0,0.594,4.95e-06,4.0,0.1,-6.251,1.0,0.0277,150.22,4.0,0.23600000000000002,https://api.spotify.com/v1/tracks/1M2nd8jNUkkwrc1dgBPTJz,spotify:track:1M2nd8jNUkkwrc1dgBPTJz,https://api.spotify.com/v1/audio-analysis/1M2nd8jNUkkwrc1dgBPTJz
61,Moral of the Story (feat. Niall Horan),Ashe,2NWVdwbd2hPIzC2lyf4y63,pop,0.495,0.599,198515.0,0.374,0.0,10.0,0.221,-8.896,1.0,0.0385,119.9,4.0,0.22399999999999998,https://api.spotify.com/v1/tracks/2NWVdwbd2hPIzC2lyf4y63,spotify:track:2NWVdwbd2hPIzC2lyf4y63,https://api.spotify.com/v1/audio-analysis/2NWVdwbd2hPIzC2lyf4y63
62,Rock 'n' Roll Star - Remastered,Oasis,03QZPaiw1N94aAFDv7k5Em,rock,0.000567,0.315,322947.0,0.975,0.00137,4.0,0.467,-3.21,1.0,0.0685,138.197,4.0,0.436,https://api.spotify.com/v1/tracks/03QZPaiw1N94aAFDv7k5Em,spotify:track:03QZPaiw1N94aAFDv7k5Em,https://api.spotify.com/v1/audio-analysis/03QZPaiw1N94aAFDv7k5Em
63,Sad Song - Acoustic,Liam Gallagher,0nH5hlHtKfkCnF0cXIGBik,rock,0.31,0.583,265732.0,0.5379999999999999,0.0,8.0,0.115,-4.8839999999999995,0.0,0.0302,117.99799999999999,4.0,0.25,https://api.spotify.com/v1/tracks/0nH5hlHtKfkCnF0cXIGBik,spotify:track:0nH5hlHtKfkCnF0cXIGBik,https://api.spotify.com/v1/audio-analysis/0nH5hlHtKfkCnF0cXIGBik
